gene,weight,matrisome_division,matrisome_category,naba_gene_set,functional_family,naba_source_url,uniprot_reviewed_entry,source_publication_doi,provenance_interpretation,membership_layer,operational_reason_for_21_gene_scope,historical_selection_status,outcome_used_for_membership,current_data_used_to_reweight
LAMA5,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
LAMB1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
LAMB2,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
LAMC1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Laminin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
THBS1,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Thrombospondin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
THBS2,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Thrombospondin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
HSPG2,0.0476190476,Core matrisome,Proteoglycans,NABA_PROTEOGLYCANS,Perlecan / heparan-sulfate proteoglycan,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_PROTEOGLYCANS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
TNC,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Tenascin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
TNXB,0.0476190476,Core matrisome,ECM glycoproteins,NABA_ECM_GLYCOPROTEINS,Tenascin,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_GLYCOPROTEINS.html,,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",ECM_CORE_19,Structural core-matrisome component,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
PTN,0.0476190476,Matrisome-associated,Secreted factors,NABA_SECRETED_FACTORS,Pleiotrophin; secreted growth factor,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_SECRETED_FACTORS.html,https://www.uniprot.org/uniprotkb/P21246/entry,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",PTN_MDK_added_2,Matrisome-associated secreted growth factor extending the panel from ECM structure to ECM-linked paracrine signalling,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
MDK,0.0476190476,Matrisome-associated,Secreted factors,NABA_SECRETED_FACTORS,Midkine; secreted growth factor,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_SECRETED_FACTORS.html,https://www.uniprot.org/uniprotkb/P21741/entry,10.1074/mcp.M111.014647,"Retrospective functional cross-reference only; this annotation did not select or reweight the fixed panel, and the exact historical inclusion/exclusion rule is not recoverable from the supplied archive.",PTN_MDK_added_2,Matrisome-associated secreted growth factor extending the panel from ECM structure to ECM-linked paracrine signalling,Exact original inclusion/exclusion history is not recoverable; classification is a retrospective annotation of the unchanged frozen panel.,False,False
